x1                  y1                  x2                  y2                  x3                  y3                  x4                  y4                  result                   
20.0002             23.9461             42.6682             33.7595             35.983              26.5688             21.4113             40.3659             0                        
40.3789             48.0408             31.5051             35.5825             44.929              21.0372             21.6038             35.891              1                        
40.1345             20.2309             31.5025             22.0053             32.5246             40.6032             37.6693             47.9131             0                        
45.385              35.8079             22.7589             39.6176             32.48               41.0357             47.3096             42.8659             0                        
27.8736             21.4239             42.0825             29.847              38.9792             42.6923             49.7311             30.9602             1                        
27.4112             49.4765             41.6798             42.6007             39.5456             22.1806             38.949              46.5412             1                        
28.1813             33.0923             42.9948             34.332              27.1332             28.2472             30.778              24.9952             1                        
34.5955             46.9297             47.2762             21.8169             47.1396             35.1357             35.4888             29.571              1                        
49.5993             34.8193             27.9843             22.722              48.4329             22.2125             35.0212             31.5243             1                        
28.3125             47.4145             35.8924             33.9334             48.2294             21.5025             42.8454             43.1061             1                        
44.8345             23.761              20.476              40.6537             46.0474             38.8863             42.0867             41.7624             1                        
49.9837             46.6572             26.9958             29.1897             30.5305             35.3982             37.7334             45.3794             1                        
32.3624             45.2453             28.0795             32.4618             36.1191             34.0375             28.6164             25.3498             0                        
24.6116             37.1496             44.0722             20.9916             36.0335             34.9544             48.6608             42.4488             0                        
36.6375             46.7221             38.7455             45.2612             24.793              26.3825             41.4413             23.9128             0                        
22.7297             28.2376             20.09               32.4288             20.8063             41.2946             48.1369             27.1973             0                        
25.4269             29.5262             46.6097             39.5618             24.5101             40.4404             31.5744             31.6318             1                        
34.9922             24.426              37.6156             45.3673             37.7033             48.6623             36.6844             24.4445             1                        
49.4992             32.263              24.2546             36.947              27.5638             34.6554             33.9209             48.8329             0                        
23.7809             25.9927             29.5775             38.8781             23.8014             39.5376             38.649              44.0922             0                        
27.4353             34.293              31.6794             26.0975             20.8513             47.0502             32.7949             24.2606             1                        
48.4246             32.3094             23.9357             46.5695             22.7652             24.866              22.1319             30.9602             1                        
27.5917             24.0533             43.4946             33.6592             30.4857             33.569              44.2683             47.9502             0                        
39.5494             26.4575             40.3878             47.2677             27.5038             45.8258             34.1379             35.1787             1                        
38.0118             44.5268             42.6753             33.8673             48.541              38.9822             33.1799             44.7409             0                        
40.6694             41.0662             49.6144             48.6324             45.5381             28.6795             36.1228             35.433              1                        
23.103              32.4209             37.3015             46.297              33.2012             41.8924             46.0779             41.4693             0                        
44.0216             41.1961             42.2515             20.5728             46.5809             35.7496             33.8997             21.9558             0                        
41.4027             34.6683             40.0304             40.4615             25.9866             47.499              45.9765             46.7006             1                        
36.3185             24.1758             33.5104             49.6809             26.466              33.3807             29.472              35.4398             1                        
46.4451             33.1918             34.026              44.1995             30.9547             26.3456             49.9735             24.6081             0                        
38.9146             38.4905             20.0179             20.0264             43.2006             41.82               29.5753             32.5317             1                        
40.4748             40.4169             26.1579             45.0926             41.2676             44.8612             22.8365             22.4521             0                        
42.9201             38.8872             26.4156             26.4064             22.4318             31.6647             48.5648             48.4264             0                        
31.6956             28.0764             40.7651             28.521              43.306              43.516              32.6738             28.4647             1                        
25.819              20.3395             25.7547             49.4971             27.3216             44.5918             24.0936             31.9443             1                        
38.0303             25.3064             44.8506             24.7319             49.6381             27.7151             27.008              23.0491             0                        
26.5823             39.0415             40.8802             43.8431             40.8873             42.5882             40.0856             39.0029             1                        
21.6932             37.9465             26.8102             29.5633             40.995              23.5231             42.8771             35.7837             0                        
36.6173             37.6397             29.89               41.0897             24.2914             24.8506             34.5598             45.8068             1                        
44.398              36.7051             42.1699             29.4802             24.06               35.8564             29.3222             37.6436             1                        
35.5425             32.9254             27.7653             31.1068             31.7905             33.406              34.2769             31.6349             1                        
28.3788             22.3479             31.0923             27.6177             40.1535             40.2871             35.4181             41.8583             1                        
41.623              48.3426             33.8209             48.2049             29.6468             33.813              35.5144             39.8407             1                        
32.055              38.1692             49.5951             24.5118             40.103              30.3145             36.2513             35.6842             1                        
44.8772             20.4485             28.2263             39.2894             36.3841             47.5354             27.9984             49.1026             1                        
27.402              45.3193             40.8207             33.6725             44.513              20.6625             24.8225             41.2085             1                        
41.2348             33.0992             37.4726             42.5513             49.746              40.8704             28.3854             42.6159             0                        
25.1354             20.1276             34.8707             22.3975             24.8924             47.099              43.4898             42.4004             0                        
33.0928             20.1903             37.5436             35.5544             22.0055             36.3207             31.6919             26.4748             1                        
31.5731             38.8058             39.7716             41.2796             36.1598             28.4087             44.478              31.1573             0                        
40.583              29.3051             20.2804             23.1139             35.6288             43.2764             26.6206             21.6584             1                        
22.119              24.8082             41.7129             28.9107             21.5181             34.3341             33.7149             35.5997             1                        
33.3947             24.5093             28.5783             45.0105             40.8691             37.3333             40.4349             29.9352             1                        
21.7243             49.6065             36.2718             20.0497             45.6858             20.8807             31.3265             34.6896             1                        
37.2852             42.1688             40.38               36.088              21.0676             23.6752             49.2007             25.6483             0                        
30.5396             38.4238             38.2283             23.778              36.5859             48.6209             30.7077             45.1431             1                        
49.2276             27.7704             27.5458             32.7301             44.3914             46.9374             27.3376             42.8185             1                        
40.8457             33.5555             27.9086             39.9651             23.4971             26.2869             23.4103             36.4092             1                        
20.1824             25.2792             37.9808             32.9572             22.4752             40.6224             31.2593             45.0862             1                        
23.7091             49.2004             20.8891             22.4106             34.8273             43.0831             48.0209             27.5047             0                        
30.7897             43.0734             34.9987             42.4775             40.1571             40.45               42.7031             21.091              0                        
26.9172             26.65               36.8781             39.5787             38.4983             31.144              26.744              27.0107             1                        
39.5903             24.9778             42.3231             24.7927             21.4292             39.8598             23.7483             48.4747             0                        
34.5254             38.6314             47.4207             20.5383             37.8064             41.6562             34.8975             21.6108             0                        
33.249              35.5752             43.1583             21.9607             33.2837             49.3154             34.0322             29.8717             1                        
33.3779             42.2982             26.1602             25.1414             31.1756             48.1918             48.9455             27.6487             0                        
22.1101             23.7155             35.7901             24.8025             35.5312             23.1555             45.2473             31.0569             0                        
32.7167             29.8168             41.4064             37.3033             46.1565             42.7474             45.0979             40.9937             1                        
31.6718             48.0572             38.1681             30.8625             36.1851             33.6522             32.0508             27.2132             1                        
22.4926             32.6474             34.1714             28.693              23.1491             26.4916             44.0606             35.8232             0                        
40.0646             45.9093             27.3125             41.3469             27.9099             31.4846             22.4302             33.7929             1                        
26.986              43.8606             34.7403             20.0969             27.9836             39.9407             32.7557             25.6047             1                        
48.9043             24.0212             43.8757             48.3813             25.1347             38.18               21.9141             30.4248             1                        
28.774              35.2897             44.7751             45.0302             41.7933             29.883              44.0625             38.9529             1                        
21.3602             21.2426             24.5995             43.0119             21.8519             35.5791             47.8745             26.6155             0                        
26.1369             22.6698             40.9907             41.1938             34.8389             27.8534             41.3471             31.351              1                        
26.0193             26.9782             33.0829             34.085              45.8356             49.3171             33.3356             21.0273             1                        
35.7132             20.9492             42.5952             37.7476             44.6867             29.8874             26.9623             36.0958             0                        
32.9186             32.1074             49.6197             49.0073             45.5159             46.0254             29.3482             24.4517             0                        
49.928              39.1857             34.0422             47.9574             40.7232             44.4622             36.246              37.1842             1                        
24.7765             48.3575             44.64               24.6624             21.2322             30.3084             23.3006             22.8961             1                        
35.5632             20.6722             36.8445             45.7063             35.5072             40.2357             42.1152             40.9538             1                        
20.684              25.7595             40.1297             30.3762             21.9887             24.2213             47.6335             26.6497             0                        
31.4034             37.5805             25.0194             20.7902             40.7338             42.8703             41.4109             22.3197             0                        
37.6943             47.7651             47.8909             32.9134             35.1791             44.9377             47.5771             38.0491             1                        
41.7151             35.5801             34.7245             24.8426             49.2835             37.2308             28.1975             35.9428             0                        
40.9567             40.0115             22.923              36.4621             38.3221             40.039              34.8538             37.1475             1                        
37.6666             33.2394             24.5365             35.0682             41.9409             20.9497             21.5485             35.6619             1                        
29.6193             21.0518             27.3543             23.2154             31.4891             36.5549             37.9151             38.3333             0                        
48.0575             43.1609             35.3945             34.6004             39.5038             40.9099             32.2261             34.6055             0                        
34.3935             41.3135             36.026              28.2994             38.1661             28.4031             41.1011             35.9147             1                        
48.1476             27.0621             32.4048             37.9243             43.4901             47.6076             40.4447             44.6353             1                        
35.8224             26.9081             24.3105             46.9856             27.5427             39.5454             20.1445             48.0781             1                        
28.2606             45.763              28.3679             48.5729             35.2046             23.6885             32.4943             41.0741             1                        
33.0947             23.2322             42.9852             22.996              33.238              30.3373             28.9119             42.7286             0                        
30.1553             29.9228             21.6682             37.1955             34.5586             26.0745             23.4342             49.2304             0                        
45.9383             34.7552             31.0218             44.1474             24.8661             24.7874             21.7317             24.4775             1                        
34.043              31.4182             46.5111             32.724              32.3674             39.5388             29.2498             21.8043             0                        
44.4325             46.9297             47.5848             47.0365             43.1014             25.1239             37.1733             20.9421             0                        
44.098              35.6664             45.8487             28.3159             46.0848             37.6059             31.6752             44.3569             0                        
35.7701             48.1961             32.6011             37.3959             42.4743             46.4235             30.1425             25.6865             0                        
42.2938             41.5676             46.3749             22.1861             41.3034             46.3718             30.7814             22.6956             0                        
24.8309             32.5039             22.8929             40.2408             36.8783             44.3914             46.3458             43.0808             0                        
39.0562             46.8957             46.3524             34.5941             23.3921             31.3245             31.4786             40.6273             1                        
23.6522             22.3047             24.2991             34.3292             41.2576             27.1406             31.729              49.2764             0                        
38.863              40.436              47.2607             30.872              45.7764             43.8283             32.8662             22.2053             0                        
34.9589             34.5162             33.522              34.9897             42.2228             47.9853             29.0037             24.3859             0                        
23.3006             22.4097             49.1743             32.2453             27.1523             48.8948             45.0042             25.9424             1                        
23.8844             25.8892             30.1736             37.2704             33.208              37.5702             32.9863             31.0461             1                        
31.4695             38.004              32.8842             24.4636             40.1059             49.862              40.942              32.0822             1                        
45.4783             44.5858             43.8015             31.2275             20.2882             34.3934             39.1717             39.3949             1                        
39.3469             43.971              31.3209             30.7302             31.685              30.0292             40.8077             24.3469             0                        
28.7458             40.0057             45.631              29.441              24.3243             38.0675             20.1676             47.6249             0                        
31.4586             35.4959             30.3337             27.924              28.73               45.0094             23.7317             39.0386             1                        
21.4609             33.7414             31.3045             24.6762             42.6757             39.9792             20.3459             43.8464             0                        
36.8274             28.6596             32.4668             29.6183             35.4377             41.5747             45.2613             26.9569             0                        
33.9502             31.2008             21.5013             22.2155             26.0735             36.9855             44.9457             32.6766             0                        
45.1865             28.7913             25.4359             30.7258             48.0233             37.6826             31.0712             33.8918             1                        
38.8349             48.3336             32.1736             21.5145             33.3455             37.8778             42.4493             45.9251             1                        
23.9307             23.1374             39.9592             45.0013             37.4386             39.7578             49.461              20.5675             0                        
47.6442             25.8404             49.0317             35.6922             28.3639             41.5938             37.7138             45.1125             1                        
45.0407             39.7966             41.9134             39.2908             30.4859             36.0463             39.9244             29.7029             0                        
46.0756             33.2711             47.539              28.3                48.5526             23.5171             32.4802             45.0913             0                        
48.8761             29.9879             35.7854             36.0787             44.5432             47.8967             39.8868             27.2969             1                        
48.2429             37.9017             23.781              27.4092             46.6018             25.8853             24.8887             45.0799             0                        
38.0722             38.6973             45.1604             40.1494             31.7467             46.1385             40.0204             23.4682             0                        
20.0012             40.282              38.8626             33.6364             37.2304             20.9681             30.5418             45.6525             1                        
31.1251             39.8428             37.2929             21.7988             42.334              28.3848             33.2787             25.2926             1                        
22.754              46.9173             49.7726             37.8248             20.9901             40.7279             34.6164             37.0802             1                        
46.8717             33.0351             40.6578             26.0947             34.4516             28.1733             48.4136             27.329              1                        
48.5979             34.3086             23.8126             48.8431             45.7147             26.5223             20.2102             43.4742             1                        
21.5118             48.8016             39.2412             37.202              24.1128             23.8713             44.7388             35.0556             1                        
39.6766             35.1518             35.7936             23.5519             47.0917             40.0671             28.3276             31.6012             0                        
31.7448             44.9329             27.29               23.7033             41.8492             39.4423             26.0365             45.4609             1                        
20.6767             23.1669             25.6394             30.829              43.3898             41.5761             39.9909             37.4291             1                        
